State,Country,MethAcq,Drug, Potency , Nt Wt ,Seize Year,Seize Month, Post Price 
FL,,P,COCAINE, 33 , 27 ,2007,1, 750 
LA,,P,COCAINE, 57 , 27 ,2007,1, 750 
FL,,P,COCAINE, 80 , 9 ,2007,1, 750 
GA,,P,COCAINE, 61 , 29 ,2007,1, 750 
MA,,P,COCAINE HYDROCHLORIDE, 60 , 13 ,2007,1, 750 
MS,,P,COCAINE HYDROCHLORIDE, 73 , 28 ,2007,1, 740 
FL,,P,COCAINE HYDROCHLORIDE, 78 , 28 ,2007,1, 730 
OH,,P,COCAINE, 38 , 23 ,2007,1, 720 
MS,,P,COCAINE, 75 , 12 ,2007,1, 700 
MA,,P,COCAINE, 83 , 7 ,2007,1, 700 
NM,,P,COCAINE HYDROCHLORIDE, 48 , 26 ,2007,1, 700 
FL,,P,COCAINE HYDROCHLORIDE, 29 , 26 ,2007,1, 700 
TX,,P,COCAINE, 74 , 26 ,2007,1, 700 
TX,,P,COCAINE, 88 , 13 ,2007,1, 700 
MA,,P,COCAINE, 85 , 9 ,2007,1, 700 
WV,,P,COCAINE HYDROCHLORIDE, 34 , 12 ,2007,1, 700 
FL,,P,COCAINE HYDROCHLORIDE, 92 , 28 ,2007,1, 700 
FL,,P,COCAINE, 48 , 23 ,2007,1, 700 
MI,,P,COCAINE, 62 , 21 ,2007,1, 700 
FL,,P,COCAINE HYDROCHLORIDE, 83 , 56 ,2007,1, 700 
FL,,P,COCAINE, 70 , 15 ,2007,1, 700 
MA,,P,COCAINE, 83 , 10 ,2007,1, 700 
NY,,P,COCAINE, 76 , 49 ,2007,1, 700 
FL,,P,COCAINE, 64 , 28 ,2007,1, 700 
MA,,P,COCAINE, 71 , 10 ,2007,1, 700 
WA,,P,COCAINE HYDROCHLORIDE, 77 , 25 ,2007,1, 700 
FL,,P,"COCAINE, SALT UNDETERMINED", 7 , 29 ,2007,1, 700 
UT,,P,COCAINE HYDROCHLORIDE, 16 , 43 ,2007,1, 680 
FL,,P,COCAINE HYDROCHLORIDE, 40 , 21 ,2007,1, 650 
